run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v6_refit64_01,4,128,0.34004859579727054,0.8071060478687286,0.1328125,0.022580217824724923,0.0050043201481457305
v6_refit64_01,5,128,-0.5310621978715062,0.4676337242126465,0.3125,0.004978650234988844,0.0028514284713309695
v6_refit64_quality128_01,1,128,0.40425716573372483,0.7539011240005493,0.1640625,0.00832393586460962,0.0024989783487398636
v6_refit64_quality128_01,2,128,0.08111980510875583,0.5651061534881592,0.2734375,0.004912187265290361,0.002675894604180897
v6_refit64_quality128_01,3,128,-0.10249296436086298,0.5533376336097717,0.265625,0.006175870039442037,0.0029208168925833416
v6_refit64_quality128_01,4,128,0.34004859579727054,0.8071060478687286,0.1328125,0.022580217824724923,0.0050043201481457305
v6_refit64_quality128_01,5,128,-0.5310621978715062,0.4676337242126465,0.3125,0.004978650234988844,0.0028514284713309695
v6_refit64_quality512_01,1,512,0.19868916377890855,0.7740995585918427,0.125,0.008972102177722215,0.0023013782520137716
v6_refit64_quality512_01,2,512,-0.13824368186760694,0.4835960566997528,0.265625,0.0048336370236938325,0.00250345069980535
v6_refit64_quality512_01,3,512,-0.16699599102139473,0.5010208487510681,0.296875,0.00554752159223421,0.0027324563161527735
v6_refit64_quality512_01,4,512,0.46401978854555637,0.8096348643302917,0.11328125,0.021532517657760715,0.005160702859939144
v6_refit64_quality512_01,5,512,-0.7505876662908122,0.4046709537506103,0.33203125,0.004621846612280886,0.0029168919027142224
v7_source_time64_01,1,128,0.22911068378016355,0.7550785541534424,0.140625,0.00832393586460962,0.0026485797934582894
v7_source_time64_01,2,128,-0.019560671411454678,0.46301552653312683,0.296875,0.004912187265290361,0.003052678410313044
v7_source_time64_01,3,128,-0.320604863576591,0.5217604637145996,0.2578125,0.006175870039442037,0.0030483697119052045
v7_source_time64_01,4,128,0.4368469826877117,0.8155907690525055,0.0625,0.022580217824724923,0.004481627387576693
v7_source_time64_01,5,128,-0.7883663522079587,0.46984559297561646,0.3046875,0.004978650234988844,0.0028599009383469326
v7_source_time64_quality128_01,1,128,0.22911068378016355,0.7550785541534424,0.140625,0.00832393586460962,0.0026485797934582894
v7_source_time64_quality128_01,2,128,-0.019560671411454678,0.46301552653312683,0.296875,0.004912187265290361,0.003052678410313044
v7_source_time64_quality128_01,3,128,-0.320604863576591,0.5217604637145996,0.2578125,0.006175870039442037,0.0030483697119052045
v7_source_time64_quality128_01,4,128,0.4368469826877117,0.8155907690525055,0.0625,0.022580217824724923,0.004481627387576693
v7_source_time64_quality128_01,5,128,-0.7883663522079587,0.46984559297561646,0.3046875,0.004978650234988844,0.0028599009383469326
v7_source_time_canary_01,1,4,-1.604637235403061,0.8927448093891144,0.25,0.00418937997892495,0.0012028629425912562
v7_source_time_canary_01,2,4,0.23534511029720306,0.44930294156074524,0.25,0.005902391392737575,0.0035206256434321
v7_source_time_canary_01,3,4,-2.258374646306038,-1.930321455001831,0.75,0.00360543397255235,0.0035413280129432
v7_source_time_canary_01,4,4,-0.09463368356227875,0.7471594214439392,0.25,0.014155847486108474,0.0033549263607709997
v7_source_time_canary_01,5,4,0.8130573928356171,0.8455595374107361,0.0,0.0044565133284777,0.0010784962214529237
v10_source_confidence64_01,1,8,-1.0907071754336357,0.7485613822937012,0.25,0.005081432289443875,0.0021679082419722847
v10_source_confidence64_01,2,8,0.33902572095394135,0.6353234350681305,0.125,0.008673484087921637,0.0030045650200917623
v10_source_confidence64_01,3,8,0.09498509019613266,0.650721937417984,0.375,0.007220863830298125,0.0023600823478772625
v10_source_confidence64_01,4,8,0.7877294570207596,0.7749468684196472,0.0,0.029295362764969413,0.007325660320930125
v10_source_confidence64_01,5,8,-0.0023627430200576782,0.544017493724823,0.25,0.009518255828879737,0.0068641646066680126
v10_source_confidence_canary_01,1,8,-9.373080484569073,-0.575719952583313,0.625,0.005081432289443875,0.011870575137436326
v10_source_confidence_canary_01,2,8,-1.2325063422322273,0.524405837059021,0.125,0.008673484087921637,0.005497698206454465
v10_source_confidence_canary_01,3,8,0.29513902962207794,0.7310781180858612,0.25,0.007220863830298125,0.0018902906449511
v10_source_confidence_canary_01,4,8,0.7151603698730469,0.7959282398223877,0.0,0.029295362764969413,0.006218939437530888
v10_source_confidence_canary_01,5,8,0.28826408833265305,0.6570441126823425,0.125,0.009518255828879737,0.005272664478979961
v11_adaptive_ridge64_01,1,8,-1.0819850116968155,0.7495215237140656,0.25,0.005081432289443875,0.002159626805223484
v11_adaptive_ridge64_01,2,8,0.09094291180372244,0.6153286099433899,0.125,0.008673484087921637,0.00400684261694545
v11_adaptive_ridge64_01,3,8,0.39895474910736084,0.7068730592727661,0.125,0.007220863830298125,0.0024415944935753378
v11_adaptive_ridge64_01,4,8,0.6041189581155777,0.8810474872589111,0.125,0.029295362764969413,0.0031474920688196626
v11_adaptive_ridge64_01,5,8,0.3939095214009285,0.7576700448989868,0.125,0.009518255828879737,0.0045273129362612494
