edge,stage,presentation,layer,users,candidate_mean_energy_fraction,candidate_centered_energy_fraction
v1_to_v2,u_gated_update,S5_transformed_update,4,32,0.9944271109998226,0.005572875040343206
v1_to_v2,u_gated_update,S5_transformed_update,5,32,0.9961977489292622,0.0038022604712750763
v2_to_v3,u_gated_update,S5_transformed_update,0,32,0.990531412884593,0.009468595646467293
v2_to_v3,u_gated_update,S5_transformed_update,1,32,0.9984058663249016,0.0015941312522045337
v2_to_v3,u_gated_update,S5_transformed_update,2,32,0.9996632393449545,0.00033675816746381315
v2_to_v3,u_gated_update,S5_transformed_update,3,32,0.9995220508426428,0.0004779550832836321
v2_to_v3,u_gated_update,S5_transformed_update,4,32,0.9957114513963461,0.004288570660719415
v2_to_v3,u_gated_update,S5_transformed_update,5,32,0.9994614496827126,0.00053856136878494
v3_to_v4,u_gated_update,S5_transformed_update,0,32,0.997425764799118,0.0025742312277543533
v3_to_v4,u_gated_update,S5_transformed_update,1,32,0.9970953613519669,0.0029046494455542415
v3_to_v4,u_gated_update,S5_transformed_update,2,32,0.9991092011332512,0.0008907901240036153
v3_to_v4,u_gated_update,S5_transformed_update,3,32,0.9989146664738655,0.001085349534832858
v3_to_v4,u_gated_update,S5_transformed_update,4,32,0.9982709158211946,0.0017291050737640035
v3_to_v4,u_gated_update,S5_transformed_update,5,32,0.997127141803503,0.0028728442994179204
v4_to_v5,u_gated_update,S5_transformed_update,0,32,0.9952650032937527,0.004735004066787951
v4_to_v5,u_gated_update,S5_transformed_update,1,32,0.9967884179204702,0.003211586117686238
v4_to_v5,u_gated_update,S5_transformed_update,2,32,0.9988193344324827,0.0011806639136011654
v4_to_v5,u_gated_update,S5_transformed_update,3,32,0.9986777696758509,0.0013222228494669253
v4_to_v5,u_gated_update,S5_transformed_update,4,32,0.996140630915761,0.0038593561648667674
v4_to_v5,u_gated_update,S5_transformed_update,5,32,0.9975295886397362,0.0024704062775526836
